name,foods,price,img_url
大饼卷香烤鸡扒蛋,<br>主要原料:烙饼、酸辣土豆丝、鸡扒、黄瓜段、培根炒蛋、面酱、薄脆<br>产品及包装以实物为准。,17.5,https://img.4008823823.com.cn/kfcios/Version/609_594698.jpg
大饼卷京酱卤肉丝,<br>主要原料:烙饼、酸辣土豆丝、卤香鸡肉丝、黄瓜段、培根炒蛋、面酱、薄脆<br>产品及包装以实物为准。,15.5,https://img.4008823823.com.cn/kfcios/Version/609_593852.jpg
现烤法式可颂4只+香草流心可颂4只,"现烤法式可颂4只+大溪地香草奶香流心可颂4只
省是指比菜单单品总价省的金额
产品及包装以实物为准",36.0,https://img.4008823823.com.cn/kfcios/Version/764_1009055.jpg
大溪地香草奶香流心可颂多只装,"大溪地香草奶香流心可颂多只装
省是指比菜单单品总价省的金额
产品及包装以实物为准",23.0,https://img.4008823823.com.cn/kfcios/Version/764_1005602.jpg
现烤法式可颂多只装,"现烤法式可颂多只装
省是指比菜单单品总价省的金额
产品及包装以实物为准",16.0,https://img.4008823823.com.cn/kfcios/Version/764_1005600.jpg
大溪地香草奶香流心可颂2只饮品餐,"大溪地香草奶香流心可颂2只+早餐饮品1杯（可加价换购） 
<br>省是指比菜单单品总价省的金额
<br>产品及包装以实物为准",11.0,https://img.4008823823.com.cn/kfcios/Version/764_1002211.jpg
现烤法式可颂2只饮品餐,"现烤法式可颂2只+早餐饮品1杯（可加价换购）
省是指比菜单单品总价省的金额
产品及包装以实物为准",6.0,https://img.4008823823.com.cn/kfcios/Version/764_1009232.jpg
大溪地香草奶香流心可颂2只装,"主要原料：冷冻面团，奶香酱，糖粉
<br>大溪地香草奶香流心可颂2只",14.0,https://img.4008823823.com.cn/kfcios/Version/764_1009054.jpg
现烤法式可颂2只装,"主要原料：迷你原味可颂冷冻面团
<br>产品及包装以实物为准。",9.0,https://img.4008823823.com.cn/kfcios/Version/764_1009158.jpg
现烤大可颂+咖啡随心换, 现烤大可颂1个+咖啡饮品1杯（可加价换购）<br>省是指比菜单单品总价省的金额 <br>产品及包装以实物为准。,6.0,https://img.4008823823.com.cn/kfcios/Version/751_955330.jpg
现烤大可颂+豆浆随心换," 现烤大可颂1个+豆浆饮品1杯（可加价换购）<br>省是指比菜单单品总价省的金额 <br>产品及包装以实物为准。
",6.0,https://img.4008823823.com.cn/kfcios/Version/635_673450.jpg
DB现烤大可颂,主要原料：原味可颂冷冻面团<br>产品及包装以实物为准。,9.0,https://img.4008823823.com.cn/kfcios/Version/682_778156.jpg
DB芝士猪柳帕尼尼豆浆餐,升级芝士猪柳帕尼尼+早餐豆浆1杯<br>省是指比菜单单品总价省的金额<br>产品及包装以实物为准。,9.5,https://img.4008823823.com.cn/kfcios/Version/762_989627.jpg
芝猪柳蛋帕尼尼豆浆餐,升级芝士猪柳蛋帕尼尼1个+早餐豆浆1杯<br>省是指比菜单单品总价省的金额<br>产品及包装以实物为准。,13.5,https://img.4008823823.com.cn/kfcios/Version/762_990088.jpg
芝士猪柳蛋帕尼尼+咖啡随心换,升级芝士猪柳蛋帕尼尼1个+咖啡1杯(可加价换购)<br>省是指比菜单单品总价省的金额<br>产品及包装以实物为准。,12.0,https://img.4008823823.com.cn/kfcios/Version/751_955326.jpg
芝士鸡肉帕尼尼豆浆餐,升级芝士鸡肉帕尼尼1个+早餐豆浆1杯<br>省是指比菜单单品总价省的金额<br>产品及包装以实物为准。,6.5,https://img.4008823823.com.cn/kfcios/Version/713_850733.jpg
芝士鸡肉帕尼尼+咖啡随心换,升级芝士鸡肉帕尼尼1个+咖啡1杯(可加价换购)<br>省是指比菜单单品总价省的金额<br>产品及包装以实物为准。,5.0,https://img.4008823823.com.cn/kfcios/Version/751_954812.jpg
芝士猪柳帕尼尼+咖啡随心换,升级版芝士猪柳帕尼尼1份+咖啡1杯（可加价换购）<br>省是指比菜单单品总价省的金额<br>产品及包装以实物为准。,9.5,https://img.4008823823.com.cn/kfcios/Version/751_955792.jpg
芝士猪柳蛋帕尼尼,<br>主要原料:面包、猪肉饼、鸡蛋、干酪片<br>产品及包装以实物为准。,16.5,https://img.4008823823.com.cn/kfcios/Version/604_582483.jpg
芝士猪柳帕尼尼,<br>主要原料:面包、猪肉饼、干酪片<br>产品及包装以实物为准。,12.5,https://img.4008823823.com.cn/kfcios/Version/604_581214.jpg
芝士鸡肉帕尼尼,<br>主要原料:面包，鸡肉饼， 芝士<br>产品及包装以实物为准,9.5,https://img.4008823823.com.cn/kfcios/Version/604_581339.jpg
牛肉蛋花粥+茶叶蛋+饮品随心换,"牛肉蛋花粥1份+九龙金玉茶叶蛋1只+早餐饮品1杯（可加价换购）
产品及包装以实物为准",14.5,https://img.4008823823.com.cn/kfcios/Version/751_957179.jpg
皮蛋瘦肉粥+茶叶蛋+饮品随心换,"皮蛋瘦肉粥1份+九龙金玉茶叶蛋1只+早餐饮品1杯（可加价换购）
省是指比菜单单品总价省的金额
产品及包装以实物为准",12.5,https://img.4008823823.com.cn/kfcios/Version/753_963581.jpg
冬菇滑鸡粥+茶叶蛋+饮品随心换,"冬菇滑鸡粥1份+九龙金玉茶叶蛋1只+早餐饮品1杯（可加价换购）
产品及包装以实物为准",12.5,https://img.4008823823.com.cn/kfcios/Version/744_945367.jpg
